epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,285.437,1.13882,0.95345,0.99933,0.14312,0.000237576,0.000237576,0.000237576
2,558.747,0.31395,0.98018,0.99933,0.06416,0.000452035,0.000452035,0.000452035
3,829.715,0.2507,0.98307,0.99978,0.06033,0.000642932,0.000642932,0.000642932
4,1098.84,0.2139,0.98842,1,0.04031,0.000607971,0.000607971,0.000607971
5,1370.92,0.16712,0.99131,1,0.02769,0.000572628,0.000572628,0.000572628
6,1641.75,0.13965,0.99065,1,0.0283,0.000537285,0.000537285,0.000537285
7,1913.97,0.12556,0.9922,0.99978,0.02317,0.000501942,0.000501942,0.000501942
8,2184.34,0.1067,0.99465,1,0.01482,0.000466599,0.000466599,0.000466599
9,2455.04,0.09362,0.99421,1,0.01726,0.000431256,0.000431256,0.000431256
10,2725.94,0.08739,0.99644,1,0.01186,0.000395913,0.000395913,0.000395913
11,2999.58,0.07661,0.99755,1,0.00668,0.00036057,0.00036057,0.00036057
12,3269.21,0.06232,0.99688,1,0.00984,0.000325227,0.000325227,0.000325227
13,3539.66,0.0663,0.99666,1,0.00839,0.000289884,0.000289884,0.000289884
14,3810.22,0.06103,0.99733,1,0.00762,0.000254541,0.000254541,0.000254541
15,4077.47,0.04645,0.99822,1,0.00567,0.000219198,0.000219198,0.000219198
16,4350.8,0.04309,0.99822,1,0.00573,0.000183855,0.000183855,0.000183855
17,4620.91,0.04319,0.99911,1,0.0047,0.000148512,0.000148512,0.000148512
18,4890.92,0.03743,0.99911,1,0.00367,0.000113169,0.000113169,0.000113169
19,5163.27,0.02931,0.99933,1,0.00298,7.7826e-05,7.7826e-05,7.7826e-05
20,5436.6,0.03235,0.99911,1,0.0033,4.2483e-05,4.2483e-05,4.2483e-05
