epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,95.0218,1.22346,0.9434,0.99866,0.17394,0.00998217,0.00332739,0.00998217,0.00332739,0.00998217,0.00332739,0.00998217,0.00332739
2,175.975,0.32514,0.95796,0.99911,0.13969,0.0196525,0.00655082,0.0196525,0.00655082,0.0196525,0.00655082,0.0196525,0.00655082
3,245.7,0.38494,0.92097,0.99896,0.2328,0.0289928,0.00966425,0.0289928,0.00966425,0.0289928,0.00966425,0.0289928,0.00966425
4,315.409,0.39869,0.95752,0.99926,0.123,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
5,384.2,0.28229,0.96316,0.99911,0.12569,0.02802,0.00934,0.02802,0.00934,0.02802,0.00934,0.02802,0.00934
6,452.247,0.23663,0.98589,0.9997,0.04875,0.027525,0.009175,0.027525,0.009175,0.027525,0.009175,0.027525,0.009175
7,517.738,0.19562,0.98633,0.9997,0.04189,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
8,572.769,0.17933,0.99049,0.9997,0.03448,0.026535,0.008845,0.026535,0.008845,0.026535,0.008845,0.026535,0.008845
9,627.885,0.16846,0.99124,0.9997,0.03231,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868
10,687.188,0.1588,0.99138,0.9997,0.03092,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
11,744.961,0.13714,0.9945,0.9997,0.02036,0.02505,0.00835,0.02505,0.00835,0.02505,0.00835,0.02505,0.00835
12,801.134,0.13139,0.99436,0.9997,0.02226,0.024555,0.008185,0.024555,0.008185,0.024555,0.008185,0.024555,0.008185
13,857.129,0.12745,0.9948,0.9997,0.01958,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
14,913.248,0.11129,0.99554,0.9997,0.01806,0.023565,0.007855,0.023565,0.007855,0.023565,0.007855,0.023565,0.007855
15,969.405,0.1102,0.99569,0.99985,0.01622,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769
16,1025.89,0.1041,0.99569,1,0.01307,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
